music,link,artist_name,sid
小情歌,https://music.163.com/song?id=375328,苏打绿,12707
我好想你 - (I Miss You So),https://music.163.com/song?id=26524510,苏打绿,12707
无与伦比的美丽,https://music.163.com/song?id=375168,苏打绿,12707
你被写在我的歌里,https://music.163.com/song?id=374597,苏打绿,12707
他夏了夏天,https://music.163.com/song?id=374910,苏打绿,12707
你在烦恼什么,https://music.163.com/song?id=374621,苏打绿,12707
燕窝,https://music.163.com/song?id=374608,苏打绿,12707
当我们一起走过,https://music.163.com/song?id=374612,苏打绿,12707
小宇宙,https://music.163.com/song?id=375324,苏打绿,12707
再遇见 - (Met Again),https://music.163.com/song?id=27678693,苏打绿,12707
相信,https://music.163.com/song?id=375184,苏打绿,12707
天天晴朗 - (Sunny Everyday),https://music.163.com/song?id=27543051,苏打绿,12707
喜欢寂寞,https://music.163.com/song?id=374605,苏打绿,12707
日光,https://music.163.com/song?id=374981,苏打绿,12707
下雨的夜晚,https://music.163.com/song?id=35416422,苏打绿,12707
无眠(国),https://music.163.com/song?id=374826,苏打绿,12707
我赖你,https://music.163.com/song?id=450041299,苏打绿,12707
说了再见以后 - (After Saying Goodbye),https://music.163.com/song?id=27731537,苏打绿,12707
飞鱼,https://music.163.com/song?id=375407,苏打绿,12707
蝉想,https://music.163.com/song?id=374917,苏打绿,12707
带我走,https://music.163.com/song?id=27946612,苏打绿,12707
他举起右手点名,https://music.163.com/song?id=36308285,苏打绿,12707
简单生活,https://music.163.com/song?id=375180,苏打绿,12707
我只在乎你(Live),https://music.163.com/song?id=375099,苏打绿,12707
狂热,https://music.163.com/song?id=374950,苏打绿,12707
微光 - (电影《小时代3:刺金时代》联合主题曲),https://music.163.com/song?id=28793080,苏打绿,12707
频率,https://music.163.com/song?id=375427,苏打绿,12707
我最亲爱的 (Live),https://music.163.com/song?id=26075399,苏打绿,12707
故事 - (The Story),https://music.163.com/song?id=27731531,苏打绿,12707
未了,https://music.163.com/song?id=36307294,苏打绿,12707
是我的海,https://music.163.com/song?id=375423,苏打绿,12707
纪念(live),https://music.163.com/song?id=29771253,苏打绿,12707
迟到千年,https://music.163.com/song?id=375382,苏打绿,12707
左边,https://music.163.com/song?id=375164,苏打绿,12707
被雨困住的城市,https://music.163.com/song?id=375340,苏打绿,12707
痛快的哀艳 - (Violently Sad and Beautiful),https://music.163.com/song?id=35416420,苏打绿,12707
墙外的风景,https://music.163.com/song?id=35416423,苏打绿,12707
追追追 (Live),https://music.163.com/song?id=374794,苏打绿,12707
掉了 (Live),https://music.163.com/song?id=26075395,苏打绿,12707
老情歌,https://music.163.com/song?id=28606468,苏打绿,12707
十年一刻,https://music.163.com/song?id=374818,苏打绿,12707
这天,https://music.163.com/song?id=375177,苏打绿,12707
好好爱你,https://music.163.com/song?id=28481304,苏打绿,12707
近未来,https://music.163.com/song?id=374958,苏打绿,12707
独处的时候 - (When I'm Alone),https://music.163.com/song?id=27678691,苏打绿,12707
幸福额度 - (电影《幸福额度》主题曲),https://music.163.com/song?id=374593,苏打绿,12707
记念(Live),https://music.163.com/song?id=375069,苏打绿,12707
从一片落叶开始 - (Starting With a Fallen Leaf),https://music.163.com/song?id=27731533,苏打绿,12707
地平线,https://music.163.com/song?id=36308281,苏打绿,12707
片刻永恒,https://music.163.com/song?id=374590,苏打绿,12707
